reg_number,url,law,purchase_method,status,object_name,customer_name,customer_url,initial_price,region_code,region_name,scraped_at
0334600005826000050,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0334600005826000050,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,"Текущий ремонт фасада здания по адресу: Иркутская область, г. Усть-Кут, ул. Новая, 20","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""МОЛОДЕЖНЫЙ ЦЕНТР БАМ"" УСТЬ-КУТСКОГО МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=2687019,3812403.21,74,Челябинская область,2026-04-25T20:30:06.504921
0342300095826000114,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0342300095826000114,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,Поставка медицинских изделий-мебель медицинская (ЛОТ 2) для нужд Государственного бюджетного учреждения здравоохранения Самарской области «Самарская городская клиническая больница №1 имени Н.И. Пирогова»,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ САМАРСКОЙ ОБЛАСТИ ""САМАРСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 1 ИМЕНИ Н.И.ПИРОГОВА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=746393,756000.0,74,Челябинская область,2026-04-25T20:30:06.505952
0360300019826000069,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0360300019826000069,44-ФЗ,44-ФЗ                                    Электронный аукцион,Определение поставщика завершено,Поставка лекарственного препарата Лозартан,"ГОСУДАРСТВЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""САРАТОВСКАЯ ГОРОДСКАЯ ПОЛИКЛИНИКА № 9""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=803044,4845.0,74,Челябинская область,2026-04-25T20:30:06.507598
0358200003126000023,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0358200003126000023,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка мягкого инвентаря (белье),"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ РОСТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНЫЙ ПРИЮТ ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ Г. ТАГАНРОГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=713034,5200.0,74,Челябинская область,2026-04-25T20:30:06.508985
0172200000726000102,https://zakupki.gov.ru/epz/order/notice/ok20/view/common-info.html?regNumber=0172200000726000102,44-ФЗ,44-ФЗ                                    Открытый конкурс в электронной форме,Определение поставщика отменено,"Выполнение работ по капитальному ремонту СБ «Красногвардеец» для Государственного бюджетного учреждения дополнительного образования спортивной школы олимпийского резерва Красногвардейского района Санкт-Петербурга имени Ю.Г.Королева (2 этап), для нужд Санкт-Петербурга в 2026 году",АДМИНИСТРАЦИЯ КРАСНОГВАРДЕЙСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,https://zakupki.gov.ru/epz/organization/view/info.html?reestrNumber=787387,39293790.0,74,Челябинская область,2026-04-25T20:30:06.510482
0339100001526000196,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0339100001526000196,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка медицинского оборудования (Система эндоскопической визуализации),"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""НОВОКУЗНЕЦКИЙ НАУЧНО-ПРАКТИЧЕСКИЙ ЦЕНТР МЕДИКО-СОЦИАЛЬНОЙ ЭКСПЕРТИЗЫ И РЕАБИЛИТАЦИИ ИНВАЛИДОВ"" МИНИСТЕРСТВА ТРУДА И СОЦИАЛЬНОЙ ЗАЩИТЫ РОССИЙСКОЙ ФЕДЕРАЦИИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=612362,18087725.0,74,Челябинская область,2026-04-25T20:30:06.511922
0358200003126000022,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0358200003126000022,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка мягкого инвентаря (разное),"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ РОСТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНЫЙ ПРИЮТ ДЛЯ ДЕТЕЙ И ПОДРОСТКОВ Г. ТАГАНРОГА""",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=713034,8366.8,74,Челябинская область,2026-04-25T20:30:06.512778
0373100032626000212,https://zakupki.gov.ru/epz/order/notice/ea20/view/common-info.html?regNumber=0373100032626000212,44-ФЗ,44-ФЗ                                    Электронный аукцион,Подача заявок,Поставка лекарственных препаратов  для медицинского применения ФОСФОКРЕАТИН  ОКПД 2 - 21.20.10.141,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""РОССИЙСКИЙ НАУЧНЫЙ ЦЕНТР РЕНТГЕНОРАДИОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ",https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=645989,7410000.0,74,Челябинская область,2026-04-25T20:30:06.513966
32615951159,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19705057,223-ФЗ,"223-ФЗ                                    Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства",Подача заявок,Поставка стеллажей,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АРАМИЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=549345,100999.95,74,Челябинская область,2026-04-25T20:30:06.514885
32615951158,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19705058,223-ФЗ,223-ФЗ                                    Прочие,Подача заявок,Поставка вакцины для профилактики бешенства,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АРАМИЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=549345,324654.0,74,Челябинская область,2026-04-25T20:30:06.515947
0165300003426000024,https://zakupki.gov.ru/epz/order/notice/zk20/view/common-info.html?regNumber=0165300003426000024,44-ФЗ,44-ФЗ                                    Запрос котировок в электронной форме,Подача заявок,Бензин автомобильный (розничная реализация),АДМИНИСТРАЦИЯ КОЛПАШЕВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ,https://zakupki.gov.ru/epz/organization/view/info.html?organizationId=623718,114012.0,74,Челябинская область,2026-04-25T20:30:09.340598
32615951157,https://zakupki.gov.ru/epz/order/notice/notice223/common-info.html?noticeInfoId=19705059,223-ФЗ,223-ФЗ                                    Прочие,Подача заявок,Поставка вакцины для профилактики клещевого энцефалита,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СВЕРДЛОВСКОЙ ОБЛАСТИ ""АРАМИЛЬСКАЯ ГОРОДСКАЯ БОЛЬНИЦА""",https://zakupki.gov.ru/epz/organization/view223/info.html?agencyId=549345,144156.0,74,Челябинская область,2026-04-25T20:30:09.341635
